agile,"13","58","72"
development-process,"10","24","71"
scrum,"8","43","44"
sdlc,"4","13","16"
kanban,"2","8","10"
waterfall,"2","13","14"
methodology,"3","17","10"
extreme-programming,"2","12","11"
