functional-requirements,"7","19","21"
quality-attributes,"4","10","41"
communication,"2","37","45"
planning,"2","9","18"
customer-relations,"3","13","24"
client-relations,"2","2","5"
business,"4","28","91"
project-planning,"2","16","5"
system-requirements,"3","10","250"
