software,"4","11","6"
engineering,"3","9","28"
project,"4","20","21"
standards,"2","3","19"
freelancing,"2","3","23"
terminology,"2","4","2"
teamwork,"2","3","6"
tools,"2","7","19"
productivity,"2","5","22"
system,"2","2","5"
